op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,40.0,48,8.0,40.0,48,8.0,8.0,8,5.0,0,6,6,0,0,6
1,SelectGen,SelectGen_1,,0,,,0,,,0,,,8,,0,0,0,0,0,0
2,SelectGen,SelectGen_2,,0,,,0,,,0,,,8,,0,0,0,0,0,0
3,LinearOffChipLoad,LinearOffChipLoad_3,0.0,0,0.0,319.0,48,-271.0,319.0,48,-271.0,8.0,8,5.0,0,6,6,0,0,6
4,FlatPartition,FlatPartition_4 (0 D),6.0,6,0.0,44.0,50,6.0,38.0,44,6.0,8.0,8,3.0,2,6,24,0,0,8
5,Reshape,Reshape_5 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
6,Flatten,"Flatten_6 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
7,Accum,Accum_7 (1 D) (fn: RetileRow),44.0,8,-36.0,44.0,27,-17.0,0.0,19,19.0,1.0,1,0.0,1,24,24,0,18,27
8,Reshape,Reshape_8 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
9,Flatten,"Flatten_9 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
10,Accum,Accum_10 (1 D) (fn: RetileRow),,8,,,27,,,19,,,1,,1,24,24,0,18,27
11,Reshape,Reshape_11 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
12,Flatten,"Flatten_12 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
13,Accum,Accum_13 (1 D) (fn: RetileRow),43.0,8,-35.0,43.0,27,-16.0,0.0,19,19.0,1.0,1,0.0,1,24,24,0,18,27
14,Reshape,Reshape_14 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
15,Flatten,"Flatten_15 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
